rotate 0 0 1 0 
rotate 21 0 0 1 
color 0.12692 0.12692 0.12692 
localcoord -300000 0 0 
color 0.27682 0.27682 0.27682 
localcoord -288379 0 -82691.2 
color 0.21794 0.21794 0.21794 
localcoord -262386 0 -145443 
color 0.29214 0.29214 0.29214 
localcoord -245746 0 -172073 
color 0.27566 0.27566 0.27566 
localcoord -226413 0 -196818 
color 0.131 0.131 0.131 
localcoord -167758 0 -248711 
color 0.12178 0.12178 0.12178 
localcoord -112382 0 -278155 
color 0.25056 0.25056 0.25056 
localcoord -92705.1 0 -285317 
color 0.14838 0.14838 0.14838 
localcoord -87711.5 0 -286891 
color 0.27004 0.27004 0.27004 
localcoord -15700.8 0 -299589 
color 0.17282 0.17282 0.17282 
localcoord 20927 0 -299269 
color 0.20274 0.20274 0.20274 
localcoord 31358.6 0 -298357 
color 0.25802 0.25802 0.25802 
localcoord 41751.9 0 -297080 
color 0.22354 0.22354 0.22354 
localcoord 107510 0 -280074 
color 0.12072 0.12072 0.12072 
localcoord 140841 0 -264884 
color 0.13324 0.13324 0.13324 
localcoord 163392 0 -251601 
color 0.12498 0.12498 0.12498 
localcoord 208398 0 -215802 
color 0.2377 0.2377 0.2377 
localcoord 257150 0 -154511 
color 0.21534 0.21534 0.21534 
localcoord 257150 0 -154511 
color 0.11404 0.11404 0.11404 
localcoord 264884 0 -140841 
color 0.2205 0.2205 0.2205 
localcoord 286891 0 -87711.5 
color 0.13864 0.13864 0.13864 
localcoord 293444 0 -62373.5 
color 0.17192 0.17192 0.17192 
localcoord 299589 0 15700.8 
color 0.16024 0.16024 0.16024 
localcoord 298858 0 26146.8 
color 0.27664 0.27664 0.27664 
localcoord 298858 0 26146.8 
color 0.125 0.125 0.125 
localcoord 294488 0 57242.7 
color 0.269 0.269 0.269 
localcoord 283656 0 97670.5 
color 0.17216 0.17216 0.17216 
localcoord 236403 0 184698 
color 0.27036 0.27036 0.27036 
localcoord 184698 0 236403 
color 0.29344 0.29344 0.29344 
localcoord 122021 0 274064 
color 0.1327 0.1327 0.1327 
localcoord 41751.9 0 297080 
color 0.29942 0.29942 0.29942 
localcoord -0.0388846 0 300000 
color 0.22062 0.22062 0.22062 
localcoord -36560.8 0 297764 
color 0.20758 0.20758 0.20758 
localcoord -36560.8 0 297764 
color 0.16458 0.16458 0.16458 
localcoord -57242.7 0 294488 
color 0.2595 0.2595 0.2595 
localcoord -126786 0 271892 
color 0.19158 0.19158 0.19158 
localcoord -200739 0 222943 
color 0.29802 0.29802 0.29802 
localcoord -226413 0 196818 
color 0.21298 0.21298 0.21298 
localcoord -239591 0 180544 
color 0.16378 0.16378 0.16378 
localcoord -239591 0 180544 
color 0.21966 0.21966 0.21966 
localcoord -280074 0 107510 
color 0.28436 0.28436 0.28436 
localcoord -286891 0 87711.5 
rotate 9 0 0 1 
color 0.2246 0.2246 0.2246 
localcoord -300000 0 0 
